CLCOL,Major,CLASSIFICATION,COLLEGE,COLLEGE NAME,MAJOR CODE,MAJOR NAME
8AG,AL,8,AG,College of Agricultural and Life Sciences,AL,ANIMAL SCIENCES    
7AG,AY,7,AG,College of Agricultural and Life Sciences,AY,AGRONOMY     
7AG,FS,7,AG,College of Agricultural and Life Sciences,FS,FOOD SCIENCE & HUMAN NUTRITION 
7AG,FS,7,AG,College of Agricultural and Life Sciences,FS,FOOD SCIENCE & HUMAN NUTRITION 
7AG,FS,7,AG,College of Agricultural and Life Sciences,FS,FOOD SCIENCE & HUMAN NUTRITION 
8AG,FSC,8,AG,College of Agricultural and Life Sciences,FSC,FOOD SCIENCE    
8AG,NUT,8,AG,College of Agricultural and Life Sciences,NUT,NUTRITIONAL SCIENCES    
7AG,NUT,7,AG,College of Agricultural and Life Sciences,NUT,NUTRITIONAL SCIENCES    
8AR,DCP,8,AR,"College of Design, Construction and Planning",DCP,"DESIGN, CONSTRUCTION AND PLANNING  "
8AR,DCP,8,AR,"College of Design, Construction and Planning",DCP,"DESIGN, CONSTRUCTION AND PLANNING  "
8AR,DCP,8,AR,"College of Design, Construction and Planning",DCP,"DESIGN, CONSTRUCTION AND PLANNING  "
8BA,BTR,8,BA,Warrington College of Business,BTR,BUS ADMIN-GENERAL    
7BA,MIB,7,BA,Warrington College of Business,MIB,INTERNATIONAL BUSINESS    
8ED,HIE,8,ED,College of Education,HIE,HIGHER EDUCATION ADMIN   
7EG,ASE,7,EG,Herbert Wertheim College of Engineering,ASE,AEROSPACE ENGINEERING    
9EG,ASE,9,EG,Herbert Wertheim College of Engineering,ASE,AEROSPACE ENGINEERING    
9EG,ASE,9,EG,Herbert Wertheim College of Engineering,ASE,AEROSPACE ENGINEERING    
8EG,CE,8,EG,Herbert Wertheim College of Engineering,CE,CIVIL ENGINEERING    
7EG,CHE,7,EG,Herbert Wertheim College of Engineering,CHE,CHEMICAL ENGINEERING    
7EG,CHE,7,EG,Herbert Wertheim College of Engineering,CHE,CHEMICAL ENGINEERING    
7EG,CHE,7,EG,Herbert Wertheim College of Engineering,CHE,CHEMICAL ENGINEERING    
7EG,CHE,7,EG,Herbert Wertheim College of Engineering,CHE,CHEMICAL ENGINEERING    
8EG,ECE,8,EG,Herbert Wertheim College of Engineering,ECE,ELECTRICAL AND COMPUTER ENGINEERING  
7EG,ECE,7,EG,Herbert Wertheim College of Engineering,ECE,ELECTRICAL AND COMPUTER ENGINEERING  
7EG,ENE,7,EG,Herbert Wertheim College of Engineering,ENE,ENVIRONMENTAL ENG SCI   
7EG,ENE,7,EG,Herbert Wertheim College of Engineering,ENE,ENVIRONMENTAL ENG SCI   
7EG,ENE,7,EG,Herbert Wertheim College of Engineering,ENE,ENVIRONMENTAL ENG SCI   
7EG,ENE,7,EG,Herbert Wertheim College of Engineering,ENE,ENVIRONMENTAL ENG SCI   
8EG,ME,8,EG,Herbert Wertheim College of Engineering,ME,MECHANICAL ENGINEERING    
8EG,ME,8,EG,Herbert Wertheim College of Engineering,ME,MECHANICAL ENGINEERING    
7LS,CSC,7,LS,College of Liberal Arts and Sciences,CSC,COMPUTER SCIENCE    
7LS,CSC,7,LS,College of Liberal Arts and Sciences,CSC,COMPUTER SCIENCE    
7LS,CSC,7,LS,College of Liberal Arts and Sciences,CSC,COMPUTER SCIENCE    
7LS,CSC,7,LS,College of Liberal Arts and Sciences,CSC,COMPUTER SCIENCE    
7LS,CSC,7,LS,College of Liberal Arts and Sciences,CSC,COMPUTER SCIENCE    
7LS,CSC,7,LS,College of Liberal Arts and Sciences,CSC,COMPUTER SCIENCE    
7LS,CSC,7,LS,College of Liberal Arts and Sciences,CSC,COMPUTER SCIENCE    
7LS,CSC,7,LS,College of Liberal Arts and Sciences,CSC,COMPUTER SCIENCE    
7LS,CSC,7,LS,College of Liberal Arts and Sciences,CSC,COMPUTER SCIENCE    
8LS,CSC,8,LS,College of Liberal Arts and Sciences,CSC,COMPUTER SCIENCE    
7LS,CSC,7,LS,College of Liberal Arts and Sciences,CSC,COMPUTER SCIENCE    
8LS,CSC,8,LS,College of Liberal Arts and Sciences,CSC,COMPUTER SCIENCE    
7LS,CSC,7,LS,College of Liberal Arts and Sciences,CSC,COMPUTER SCIENCE    
7LS,CSC,7,LS,College of Liberal Arts and Sciences,CSC,COMPUTER SCIENCE    
7LS,CSC,7,LS,College of Liberal Arts and Sciences,CSC,COMPUTER SCIENCE    
7LS,CSC,7,LS,College of Liberal Arts and Sciences,CSC,COMPUTER SCIENCE    
7LS,CSC,7,LS,College of Liberal Arts and Sciences,CSC,COMPUTER SCIENCE    
7LS,CSC,7,LS,College of Liberal Arts and Sciences,CSC,COMPUTER SCIENCE    
7LS,CSC,7,LS,College of Liberal Arts and Sciences,CSC,COMPUTER SCIENCE    
7LS,CSC,7,LS,College of Liberal Arts and Sciences,CSC,COMPUTER SCIENCE    
7LS,CSC,7,LS,College of Liberal Arts and Sciences,CSC,COMPUTER SCIENCE    
7LS,CSC,7,LS,College of Liberal Arts and Sciences,CSC,COMPUTER SCIENCE    
7MD,MDS,7,MD,College of Medicine,MDS,MEDICAL SCIENCES    
7VM,VMS,7,VM,College of Veterinary Medicine,VMS,VETERINARY MEDICAL SCIENCES   
